cluster,Clientes Únicos,Suma de total_spent,Ingresos Netos,Total Ingresos,Importe Devoluciones,Ticket Medio,Nº Productos Diferentes Vendidos,Nº Pedidos,Nº Pedidos Devueltos,% Pedidos devueltos
3,2002,20505728,20265216.970000003,20505728,240510.74,4056.5237804154303,4288,2282,103,"4,51 %"
2,2904,11865255,11831363.629999999,11865255,33891.15,1342.3752438058602,7595,6163,20,"0,32 %"
1,2432,10604597,4954010.419999999,10604597,5650586.28,1384.0507308796657,6757,5343,2590,"48,47 %"
0,20293,31307892,31307892.13,31307892,,1124.9287531888901,17696,20293,,
,9129,21490387,0,21490387,21490387.34,1537.3336676443237,11102,9559,9559,"100,00 %"
